series_id,short_name,description,block,model_variable,source,institution,source_code,source_url,original_frequency,unit,transformation,availability_start,availability_end,used_start,used_end,missing_treatment,aggregation_method,deflator,mapping_notes,status
consumo_real,Consumo real,Despesa de consumo das famílias em volume,macro,consumo_real,Contas Nacionais Trimestrais,IBGE/SIDRA,,,,número-índice,A definir após seleção da tabela,,,,,Não imputar,A definir,Já real,O ABM registra consumo_real; a tabela e unidade ainda precisam ser escolhidas,data_missing
fbcf_real,FBCF real,Formação bruta de capital fixo em volume,macro,fbcf_nf_real,Contas Nacionais Trimestrais,IBGE/SIDRA,,,,número-índice,A definir após seleção da tabela,,,,,Não imputar,A definir,Já real,O ABM registra fbcf_nf_real; falta selecionar a série empírica,data_missing
exportacoes,Exportações,Exportação de bens e serviços,macro,exportacoes,Contas Nacionais Trimestrais,IBGE/SIDRA,,,,R$ ou índice,A definir após seleção da tabela,,,,,Não imputar,A definir,A definir,Definir se a comparação será real ou nominal,needs_mapping
importacoes,Importações,Importação de bens e serviços,macro,importacoes,Contas Nacionais Trimestrais,IBGE/SIDRA,,,,R$ ou índice,A definir após seleção da tabela,,,,,Não imputar,A definir,A definir,Definir se a comparação será real ou nominal,needs_mapping
credito,Crédito agregado,Saldo ou concessões de crédito,macro,credito,Estatísticas monetárias e de crédito,Banco Central do Brasil,,,,R$ ou %,A definir após seleção de série SGS,,,,,Não imputar,A definir,Deflacionar se estoque em R$,O ABM ainda não expõe uma variável de crédito agregada,data_missing
taxa_juros,Taxa de juros,Taxa de juros de referência ou de crédito,macro,taxa_juros,Estatísticas monetárias e de crédito,Banco Central do Brasil,,,,% ao ano,A definir após seleção de série SGS,,,,,Não imputar,A definir,Não aplicável,O ABM ainda não expõe uma taxa de juros comparável,data_missing
resultado_fiscal,Resultado fiscal,Resultado primário ou nominal do governo,macro,resultado_fiscal,Estatísticas fiscais,Banco Central do Brasil,,,,R$ ou % PIB,A definir após seleção de série SGS,,,,,Não imputar,A definir,Deflacionar se R$,O ABM ainda não expõe bloco fiscal comparável,data_missing
va_setorial,Valor adicionado setorial,Valor adicionado por atividade,sectoral,valor_adicionado_setorial,Contas Nacionais Trimestrais,IBGE/SIDRA,,,,R$ ou índice,A definir após mapeamento para os setores do modelo,,,,,Não imputar,A definir,A definir,Depende de tabela de concordância IBGE-TRU-ABM,needs_mapping
producao_setorial,Produção setorial,Produção ou volume por atividade,sectoral,producao_setorial,Contas Nacionais Trimestrais,IBGE/SIDRA,,,,índice,A definir após mapeamento para os setores do modelo,,,,,Não imputar,A definir,Já real se índice de volume,Depende de tabela de concordância IBGE-TRU-ABM,needs_mapping
emprego_setorial,Emprego setorial,Pessoas ocupadas por atividade,sectoral,emprego_setorial,PNAD Contínua,IBGE,,,,pessoas,A definir após escolha de classificação,,,,,Não imputar,A definir,Não aplicável,Depende de concordância CNAE-TRU-ABM,needs_mapping
remuneracao_setorial,Remuneração setorial,Salários e remunerações por atividade,sectoral,remuneracao_setorial,Contas Nacionais Anuais,IBGE/SIDRA,,,,R$ milhões,A definir após seleção de tabela,,,,,Não imputar,A definir,Deflacionar para comparação real,Depende de concordância CNAE-TRU-ABM,needs_mapping
preco_setorial,Preço setorial,Deflator ou índice de preços por atividade,sectoral,preco_setorial,Índices de preços e CNT,IBGE,,,,índice,A definir após escolha de índice,,,,,Não imputar,A definir,Não aplicável,Depende de índice apropriado e concordância setorial,candidate
produtividade_setorial,Produtividade setorial,Razão entre volume/valor adicionado e emprego,sectoral,produtividade_setorial,Derivada de fontes IBGE,IBGE,Derivada de produção e emprego,,,,Razão explicitada em pipeline,,,,,Sem imputação,Mesma frequência das componentes,Definir deflator antes da razão,Só calcular após as duas componentes estarem mapeadas,data_missing
agro_producao,Produção agropecuária,Produção física das principais culturas,agriculture,producao_agro,Levantamento Sistemático da Produção Agrícola,IBGE,,,,toneladas,A definir por produto e agregação,,,,,Não imputar,Soma ponderada por produto,Não aplicável,Compatibilizar produtos com o setor A do ABM,candidate
agro_preco,Preço agropecuário,Índice ou preço recebido pelo produtor,agriculture,preco_agro,Fontes agrícolas oficiais,A definir,,,,índice ou R$,A definir após fonte e produto,,,,,Não imputar,A definir,Deflacionar se preço em R$,Falta escolha de fonte e ponderação,data_missing
agro_produtividade,Produtividade agropecuária,Rendimento por área ou por trabalhador,agriculture,produtividade_agro,Produção Agrícola Municipal e LSPA,IBGE,,,,kg/hectare,A definir por produto e agregação,,,,,Não imputar,Média ponderada por produto,Não aplicável,Manter separado de produtividade do trabalho,candidate
agro_exportacoes,Exportações agropecuárias,Valor ou volume exportado de produtos agropecuários,agriculture,exportacoes_agro,Comex Stat,MDIC,,,,US$ FOB ou kg,A definir por NCM e concordância,,,,,Não imputar,Soma por NCM,Deflacionar se necessário,Requer concordância NCM-atividade do ABM,candidate
geracao_eletrica,Geração elétrica,Geração de energia elétrica por fonte,electricity,geracao_eletrica,Dados de operação do sistema,ONS,,,,MWh,A definir após seleção de conjunto de dados,,,,,Não imputar,Soma por fonte,Não aplicável,Corresponder ao setor D Eletricidade e gás do ABM,candidate
demanda_eletrica,Demanda elétrica,Carga ou consumo de energia elétrica,electricity,demanda_eletrica,Dados de operação do sistema,ONS,,,,MW médio ou MWh,A definir após seleção de conjunto de dados,,,,,Não imputar,Média ou soma conforme unidade,Não aplicável,Corresponder ao setor D Eletricidade e gás do ABM,candidate
tarifa_energia,Tarifa de energia,Tarifa média ou componente de preço da eletricidade,electricity,preco_energia,Informações tarifárias,ANEEL,,,,R$/MWh ou índice,A definir após escolha de indicador,,,,,Não imputar,Média ponderada,Deflacionar se R$,Definir cobertura regulada versus mercado livre,candidate
capacidade_instalada,Capacidade instalada,Capacidade de geração elétrica instalada,electricity,capacidade_instalada,Dados energéticos oficiais,ANEEL/EPE,,,,MW,A definir após fonte e cobertura,,,,,Não imputar,Soma por fonte,Não aplicável,Indicador estrutural; modelo ainda não possui capacidade explícita,data_missing
precipitacao,Precipitação,Precipitação acumulada,climate,precipitacao,Estações meteorológicas,INMET/ANA,,,,mm,A definir por estação/grade e ponderação,,,,,Não imputar,Soma no período,Não aplicável,Requer regra espacial compatível com o recorte econômico,candidate
temperatura,Temperatura,Temperatura média,climate,temperatura,Estações meteorológicas,INMET,,,,graus Celsius,A definir por estação/grade e ponderação,,,,,Não imputar,Média no período,Não aplicável,Requer regra espacial compatível com o recorte econômico,candidate
indice_seca,Índice de seca,Indicador de condição de seca,climate,indice_seca,Monitoramento de seca,ANA/INPE,,,,índice ou categoria,A definir após escolha de indicador,,,,,Não imputar,A definir,Não aplicável,Tratar como variável exógena candidata,candidate
